Alloy Formula,"Composition
 type",Form,Composition in mole percent,"Thickness 
(micron)",fcc lattice parameter for Cu alloys,Bravais lattice in as-annealed form for PdCu based membranes,Latice parameter (nm),Bravais lattice in as-manufactured state,Temperature (°C),"Inverse temperature 
1E3/T (1E3 K-1)","Diffusion 
coefficient
(cm^2.s^-1)",Fabrication technique,"Pressure 
difference  P1^n- P2^n (Pa^n)","Pressure 
exponent 
(n)",Effective area (cm^2),Membrane support,Type of support,Gases,Solubility constant Ks (Pa^-0.5),Hydrogen permeability (mol.m^-1.s^-1.Pa^-n),"Hydrogen Permeation Flux
(mol.m^-2.s^-1)","Permeation 
Activation Energy (KJ/mol)",Hydrogen Permeance (mol.m^-2.s^-1.Pa^-0.5),Feed Flow rate (mL.min^-1),Hydrogen transfer rate s.c.f.h.(mil).(sq.ft.)^-1,Conversion factor,Number,General comments,Reference,DOI/URL,
Pd91.7Sm8.3,mole fraction,foil,Pd91.70Sm8.30,50,,,0.3964,fcc,177.17,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.21E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd91.7Sm8.3,mole fraction,foil,Pd91.70Sm8.30,50,,,0.3964,fcc,227.32,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.49E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd91.7Sm8.3,mole fraction,foil,Pd91.70Sm8.30,50,,,0.3964,fcc,277.29,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.72E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd91.7Sm8.3,mole fraction,foil,Pd91.70Sm8.30,50,,,0.3964,fcc,327.17,,,arc melting/cold rolling,581.1388,0.5,,,,,,2.24E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd93.2Sm6.8,mole fraction,foil,Pd93.20Sm6.80,50,,,0.3952,fcc,76.88,,,arc melting/cold rolling,581.1388,0.5,,,,,,4.98E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.MPa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd93.2Sm6.8,mole fraction,foil,Pd93.20Sm6.80,50,,,0.3952,fcc,101.96,,,arc melting/cold rolling,581.1388,0.5,,,,,,9.93E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.MPa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd93.2Sm6.8,mole fraction,foil,Pd93.20Sm6.80,50,,,0.3952,fcc,127.29,,,arc melting/cold rolling,581.1388,0.5,,,,,,8.39E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.MPa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd93.2Sm6.8,mole fraction,foil,Pd93.20Sm6.80,50,,,0.3952,fcc,177.26,,,arc melting/cold rolling,581.1388,0.5,,,,,,8.69E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.MPa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd93.2Sm6.8,mole fraction,foil,Pd93.20Sm6.80,50,,,0.3952,fcc,227.32,,,arc melting/cold rolling,581.1388,0.5,,,,,,9.91E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.MPa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd93.2Sm6.8,mole fraction,foil,Pd93.20Sm6.80,50,,,0.3952,fcc,277.2,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.36E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.MPa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd93.2Sm6.8,mole fraction,foil,Pd93.20Sm6.80,50,,,0.3952,fcc,327.17,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.61E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.MPa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd94.8Sm5.2,mole fraction,foil,Pd94.80Sm5.20,50,,,0.394,fcc,76.88,,,arc melting/cold rolling,581.1388,0.5,,,,,,4.94E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd94.8Sm5.2,mole fraction,foil,Pd94.80Sm5.20,50,,,0.394,fcc,102.65,,,arc melting/cold rolling,581.1388,0.5,,,,,,9.71E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd94.8Sm5.2,mole fraction,foil,Pd94.80Sm5.20,50,,,0.394,fcc,127.2,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.36E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd94.8Sm5.2,mole fraction,foil,Pd94.80Sm5.20,50,,,0.394,fcc,177.17,,,arc melting/cold rolling,581.1388,0.5,,,,,,9.05E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd94.8Sm5.2,mole fraction,foil,Pd94.80Sm5.20,50,,,0.394,fcc,227.23,,,arc melting/cold rolling,581.1388,0.5,,,,,,8.86E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd94.8Sm5.2,mole fraction,foil,Pd94.80Sm5.20,50,,,0.394,fcc,277.37,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.11E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd94.8Sm5.2,mole fraction,foil,Pd94.80Sm5.20,50,,,0.394,fcc,327.35,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.36E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assuse that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd97.4Sm2.6,mole fraction,foil,Pd97.40Sm2.60,50,,,0.3919,fcc,77.14,,,arc melting/cold rolling,581.1388,0.5,,,,,,3.13E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd97.4Sm2.6,mole fraction,foil,Pd97.40Sm2.60,50,,,0.3919,fcc,102.22,,,arc melting/cold rolling,581.1388,0.5,,,,,,4.92E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd97.4Sm2.6,mole fraction,foil,Pd97.40Sm2.60,50,,,0.3919,fcc,127.12,,,arc melting/cold rolling,581.1388,0.5,,,,,,4.45E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd97.4Sm2.6,mole fraction,foil,Pd97.40Sm2.60,50,,,0.3919,fcc,177.17,,,arc melting/cold rolling,581.1388,0.5,,,,,,5.37E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd97.4Sm2.6,mole fraction,foil,Pd97.40Sm2.60,50,,,0.3919,fcc,227.4,,,arc melting/cold rolling,581.1388,0.5,,,,,,7.60E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd97.4Sm2.6,mole fraction,foil,Pd97.40Sm2.60,50,,,0.3919,fcc,277.29,,,arc melting/cold rolling,581.1388,0.5,,,,,,8.82E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd97.4Sm2.6,mole fraction,foil,Pd97.40Sm2.60,50,,,0.3919,fcc,327.17,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.05E-08,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,mole fraction,foil,Pd,50,,,0.389,fcc,77.14,,,arc melting/cold rolling,581.1388,0.5,,,,,,1.38E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd,mole fraction,foil,Pd,50,,,0.389,fcc,102.13,,,arc melting/cold rolling,581.1388,0.5,,,,,,2.73E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd,mole fraction,foil,Pd,50,,,0.389,fcc,127.12,,,arc melting/cold rolling,581.1388,0.5,,,,,,2.28E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd,mole fraction,foil,Pd,50,,,0.389,fcc,177.17,,,arc melting/cold rolling,581.1388,0.5,,,,,,3.98E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd,mole fraction,foil,Pd,50,,,0.389,fcc,227.32,,,arc melting/cold rolling,581.1388,0.5,,,,,,5.37E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd,mole fraction,foil,Pd,50,,,0.389,fcc,277.37,,,arc melting/cold rolling,581.1388,0.5,,,,,,6.69E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
Pd,mole fraction,foil,Pd,50,,,0.389,fcc,327.35,,,arc melting/cold rolling,581.1388,0.5,,,,,,8.09E-09,,,,,,,,"The range of operating pressures before and after the membrane can vary from 0.1 to 2.5 MPa and from 0.02 to 1.0 MPa, respectively. Convert the permeability from m^3.mm/(m^2.h.Mpa^0.5) to mol/msPa^0.5. We assume that Pup = 2.5 MPa and Pdown = 1.0 MPa. The reported permeability corresponds to specific permeability i.e normalized values for 1mm thick foils. The real thickness is 50 micron.",Kolchugina (2020),https://doi.org/10.37904/metal.2020.3605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,250,,,cold rolling,516.7204,0.5,,,,,,6.79E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,250,,,cold rolling,632.4555,0.5,,,,,,7.25E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,250,,,cold rolling,730.0685,0.5,,,,,,7.35E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,250,,,cold rolling,816.7007,0.5,,,,,,8.02E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,300,,,cold rolling,516.7204,0.5,,,,,,8.82E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,300,,,cold rolling,632.4555,0.5,,,,,,8.39E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,300,,,cold rolling,730.0685,0.5,,,,,,8.53E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,300,,,cold rolling,816.7007,0.5,,,,,,8.65E-09,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,350,,,cold rolling,516.7204,0.5,,,,,,1.09E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,350,,,cold rolling,632.4555,0.5,,,,,,1.11E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,350,,,cold rolling,730.0685,0.5,,,,,,1.12E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,350,,,cold rolling,816.7007,0.5,,,,,,1.12E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,400,,,cold rolling,516.7204,0.5,,,,,,1.26E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,400,,,cold rolling,632.4555,0.5,,,,,,1.26E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,400,,,cold rolling,730.0685,0.5,,,,,,1.32E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd,mole fraction,disc,Pd,700,,,0.389,fcc,400,,,cold rolling,816.7007,0.5,,,,,,1.34E-08,,,,,,,,Table 1 data were extracted for equation 7. The permeability are given in *10^-9 mol H2.m^-1.s^-1.Pa^-0.5 and the input pressure is given in kPa unit. The pressure differential calculated here took into account only the input pressure given in Table 1.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd82.0Y3.0Ag15.0,mole fraction,disc,Pd82.00Y3.00Ag15.00,700,,,0.3937,fcc,300,,,cold rolling,516.8088,0.5,,,,,,3.96E-08,,,,,,,,The data were extracted from Figure 1. No further unit conversion needed.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd82.0Y3.0Ag15.0,mole fraction,disc,Pd82.00Y3.00Ag15.00,700,,,0.3937,fcc,300,,,cold rolling,630.8161,0.5,,,,,,4.03E-08,,,,,,,,The data were extracted from Figure 1. No further unit conversion needed.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
Pd82.0Y3.0Ag15.0,mole fraction,disc,Pd82.00Y3.00Ag15.00,700,,,0.3937,fcc,300,,,cold rolling,732.7649,0.5,,,,,,4.04E-08,,,,,,,,The data were extracted from Figure 1. No further unit conversion needed.,"(Sakamoto et al., 1992)",https://doi.org/10.1016/0925-8388(92)90468-O,
